type,prix,adresse,image
Baskets enfant  Jordan,20 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4201412_uploaded_image1_1683164968.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165640_uploaded_image1_1680784379.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165637_uploaded_image1_1680784317.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165645_uploaded_image1_1680784454.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165635_uploaded_image1_1680784281.jpg
Chaussures enfants,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4165634_uploaded_image1_1680784244.jpg
Chaussures bébé,2 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4187241_uploaded_image1_1682255769.jpg
 Chaussures enfants,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4136187_uploaded_image1_1678918009.jpg
Ballerines  enfant ,7 500,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4175703_uploaded_image1_1681413005.jpg
Chaussures enfant ,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4124281_uploaded_image1_1678211049.jpg
Chaussures  enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140244_uploaded_image1_1679226845.jpg
Chaussures enfants friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4140242_uploaded_image1_1679226795.jpg
Crampons pour enfant,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4101596_uploaded_image1_1676845748.jpg
Chaussures enfant,2 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139946_uploaded_image1_1679215303.jpg
Chaussures enfant,2 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139937_uploaded_image1_1679215240.jpg
Chaussures  enfant,2 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4139933_uploaded_image1_1679181631.jpg
Chaussures enfants,12 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4111498_uploaded_image1_1677508687.jpg
Bottes fourrées fille,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4110432_uploaded_image1_1677428890.jpg
Baskets enfant,20 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4096757_uploaded_image1_1676513509.jpg
Chaussures enfant,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4050259_uploaded_image1_1673728537.jpg
Chaussures enfant,5 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059363_uploaded_image1_1674301059.jpg
Chaussures enfant,5 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059370_uploaded_image1_1674301238.jpg
Chaussures enfant,5 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4059365_uploaded_image1_1674301160.jpg
Chaussures  enfant,20 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_4081818_uploaded_image1_1675653272.jpg
